ORF	SGD	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
YMR121C	S000004728	RPL15B	-0.0231	6.12	-0.147	0.884	0.93	-7.79
YLR040C	S000004030	AFB1	0.15	-1.27	0.148	0.884	0.93	-5.89
YER187W	S000000989	NA	0.0696	1.09	0.149	0.883	0.93	-6.5
YKR090W	S000001798	PXL1	-0.0182	5.13	-0.15	0.882	0.93	-7.64
YNL203C	S000005147	NA	0.0668	0.839	0.149	0.883	0.93	-6.41
YGR016W	S000003248	NA	0.0526	1.27	0.15	0.882	0.93	-6.54
YGL116W	S000003084	CDC20	0.0217	4.61	0.15	0.882	0.93	-7.52
YOL023W	S000005383	IFM1	-0.0273	3.83	-0.151	0.881	0.93	-7.35
YDR492W	S000002900	IZH1	0.028	4.64	0.151	0.882	0.93	-7.29
YGR206W	S000003438	MVB12	0.0377	2.93	0.151	0.882	0.93	-7.08
YIL076W	S000001338	SEC28	-0.0157	6.93	-0.151	0.881	0.93	-7.85
YGL220W	S000003188	BOL2	-0.0272	4.63	-0.152	0.881	0.93	-7.54
YCR020C-A	S000000614	MAK31	0.0372	2.73	0.153	0.88	0.93	-7.01
YLL006W	S000003929	MMM1	0.0218	4.53	0.154	0.879	0.93	-7.52
YGR032W	S000003264	GSC2	-0.0231	7.23	-0.154	0.879	0.93	-7.78
YIL134W	S000001396	FLX1	-0.0336	4.04	-0.154	0.879	0.93	-7.4
YGL048C	S000003016	RPT6	-0.0157	7.73	-0.153	0.879	0.93	-7.86
YDR128W	S000002535	MTC5	-0.0175	5.07	-0.153	0.879	0.93	-7.64
YLL053C	S000003976	NA	0.0585	5.05	0.153	0.879	0.93	-7.15
YDL101C	S000002259	DUN1	-0.0233	4.59	-0.155	0.878	0.93	-7.53
YBR159W	S000000363	IFA38	-0.0134	7.55	-0.155	0.878	0.93	-7.86
YMR225C	S000004838	MRPL44	0.0353	3.32	0.155	0.878	0.93	-7.2
YGL047W	S000003015	ALG13	-0.0278	4.11	-0.156	0.877	0.93	-7.36
YAR033W	S000000079	MST28	0.0309	3.42	0.156	0.877	0.93	-7.23
YPR140W	S000006344	TAZ1	0.0187	5.21	0.157	0.877	0.93	-7.63
YGR100W	S000003332	MDR1	-0.0166	5.95	-0.157	0.877	0.93	-7.75
YOL052C	S000005412	SPE2	0.016	6.41	0.157	0.877	0.93	-7.8
